design_id,design_name,role,shock_date,treatment_county,treatment_fips,control_counties,control_fips,analysis_start,analysis_end,covid_concern,n_document_shocks,enforcement_channel,estimator,model_spec,dependent_vars,fixed_effects,clustering,key_controls,parallel_trends_test,identifying_assumption,notes
1,Boudin SF Inauguration,primary,2020-01-08,San Francisco County,06075,"San Mateo County; Santa Clara County; Marin County",06081; 06085; 06041,2019-01-01,2020-03-15,low — 9 clean post-treatment weeks before COVID,1,charging; bail,event_study_DiD,"Y_it = α_i + γ_t + Σ_k β_k · 1(treat_i) · 1(t = event+k) + X_it·δ + ε_it",raw_visit_counts; raw_visitor_counts; night_hour_share; visits_by_each_hour,location + week,county,"county-specific linear time trends; POI category FE; week-of-year seasonality","pre-treatment event-study coefficients (β_k for k<0) should be zero; ~52 pre-treatment weeks available",SF and Bay Area controls share common foot traffic trends absent the DA change,"Boudin sworn in; SF pretrial release directive issued Jan 22 2020. Short but clean 9-week post window. Use visits_by_each_hour for night-share outcome."
2a,Gascón LA Day-One Directives,primary,2020-12-07,Los Angeles County,06037,"Orange County; San Diego County; San Bernardino County; Riverside County",06059; 06073; 06071; 06065,2020-06-01,2021-12-31,medium — within-CA DiD absorbs common COVID trends,18,bail; enhancements; sentencing; diversion; juvenile; death_penalty,DiD_with_COVID_controls,"Y_it = α_i + γ_t + β · Post_t · Treat_i + COVID_ct·θ + X_it·δ + ε_it",raw_visit_counts; raw_visitor_counts; night_hour_share; visits_by_each_hour,location + week,county,"county × month COVID case/death rates; county-specific COVID mobility trends (Google Mobility); POI category FE; week-of-year seasonality","pre-treatment event-study coefficients; placebo test on Orange County (assign fake treatment at Dec 7 2020, expect null)",LA and SoCal controls share common COVID trajectory; Gascón directives are the only differential shock,"18 mandatory directives Dec 2020. Controls had zero progressive doc shocks. Critical: include county-level COVID controls. Hourly distribution (night_hour_share) is strongest outcome — COVID shouldn't differentially shift night/day ratio across adjacent counties."
2b,Gascón LA Amended Enhancements,primary,2020-12-18,Los Angeles County,06037,"Orange County; San Diego County; San Bernardino County; Riverside County",06059; 06073; 06071; 06065,2020-06-01,2021-12-31,medium — same as 2a,2,enhancements,DiD_with_COVID_controls,same as 2a,same as 2a,same as 2a,same as 2a,same as 2a,same as 2a,same as 2a,"Amended SD 20-08 on enhancements. Use as dose-response within LA: does the Dec 18 amendment produce additional differential change beyond the Dec 7 break?"
3a,SB 1437 Staggered — Sacramento,robustness,2018-07-13,Sacramento County,06067,never-treated CA counties,,2018-01-01,2020-02-29,none — fully pre-COVID,2,sentencing,staggered_DiD_Callaway_SantAnna,"Y_it = α_i + γ_t + ATT(g,t) estimated via Callaway & Sant'Anna (2021)",raw_visit_counts; raw_visitor_counts; visits_by_day,location + week,county,"POI category FE; week-of-year seasonality; county population","group-time ATT pre-trends test (CS2021 built-in); expect null pre-treatment ATTs","staggered treatment timing is exogenous to foot traffic trends; counties that never produced implementing memos are valid never-treated","First county to produce implementing docs (6 months before law effective date). Use CS2021 estimator to handle staggered adoption. Group = county adoption cohort."
3b,SB 1437 Staggered — Monterey,robustness,2019-01-01,Monterey County,06053,never-treated CA counties,,2018-01-01,2020-02-29,none — fully pre-COVID,1,sentencing,staggered_DiD_Callaway_SantAnna,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,Adopted on law effective date.
3c,SB 1437 Staggered — San Diego,robustness,2019-01-01,San Diego County,06073,never-treated CA counties,,2018-01-01,2020-02-29,none — fully pre-COVID,1,sentencing,staggered_DiD_Callaway_SantAnna,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,Adopted on law effective date.
3d,SB 1437 Staggered — Stanislaus,robustness,2019-01-01,Stanislaus County,06099,never-treated CA counties,,2018-01-01,2020-02-29,none — fully pre-COVID,1,sentencing,staggered_DiD_Callaway_SantAnna,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,Adopted on law effective date.
3e,SB 1437 Staggered — Contra Costa,robustness,2020-01-01,Contra Costa County,06013,never-treated CA counties,,2019-01-01,2020-02-29,none — pre-COVID,1,sentencing,staggered_DiD_Callaway_SantAnna,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,Adopted 1 year after law. 2 months clean post-treatment data before COVID.
3f,SB 1437 Staggered — Yolo,robustness,2020-01-01,Yolo County,06113,never-treated CA counties,,2019-01-01,2020-02-29,none — pre-COVID,1,sentencing,staggered_DiD_Callaway_SantAnna,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,Adopted 1 year after law. 2 months clean post-treatment data before COVID.
3g,SB 1437 Staggered — Merced,robustness,2020-01-01,Merced County,06047,never-treated CA counties,,2019-01-01,2020-02-29,none — pre-COVID,1,sentencing,staggered_DiD_Callaway_SantAnna,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,same as 3a,Adopted 1 year after law. 2 months clean post-treatment data before COVID.
