shock_id,date,county,policy_name,policy_type,primary_topic,ideology_score,direction,enforcement_channel,behavioral_channel,severity,mandates_vs_guidance,extensive_margin_direction,intensive_margin_direction,summary,filename,nearest_external_shock_id,nearest_external_shock_name,nearest_external_shock_date,days_from_external_shock,external_shock_match_type
2009_san_bernardino_county_natl_center_for_state_courts_implicit_bias_appendix,2009-01-01,San Bernardino County,Natl Center for State Courts-Implicit Bias Appendix,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,moderate,strong_guidance,more_lenient,more_lenient,"This document is an implicit bias training primer prepared for courts, including prosecutor offices, that provides scientific background on unconscious racial bias and its real-world consequences in legal decision-making. The material emphasizes that implicit biases are pervasive, measurable, and affect outcomes in criminal justice settings, while also noting that such biases are malleable and can be addressed through awareness and procedural changes. The document represents a progressive approach to prosecutorial training by acknowledging systemic bias issues and providing evidence-based strategies for promoting fairness and racial justice in prosecutorial decision-making.",2009_San Bernardino County_Natl Center for State Courts-Implicit Bias Appendix.pdf,,,,,
2016_san_francisco_county_collaborative_court_eligiblity_guidelines,2016-01-01,San Francisco County,Collaborative Court Eligiblity Guidelines,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,significant,mandatory,more_lenient,more_lenient,"This document establishes comprehensive eligibility guidelines for San Francisco's collaborative courts, creating extensive opportunities for pre-plea diversion into specialized problem-solving courts for substance abuse, mental health, and young adult defendants. The policy reflects a progressive therapeutic justice approach, prioritizing treatment and rehabilitation over traditional prosecution while maintaining exclusions for serious violent offenses. The framework provides substantial benefits for successful completion including case dismissals, record sealing, and felony reductions, demonstrating a clear shift toward addressing underlying causes of criminal behavior rather than punishment alone.",2016_San Francisco County_Collaborative Court Eligiblity Guidelines.pdf,,,,,
yolo_county_implicit_bias_training_hourly_distribution,2016-04-14,Yolo County,Implicit Bias Training Hourly Distribution,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,significant,mandatory,more_lenient,more_lenient,"This document outlines a comprehensive day-long implicit bias training program for the Yolo County District Attorney's Office, focusing on how unconscious bias affects prosecutorial decision-making. The training systematically addresses bias recognition and intervention across key prosecutorial functions including charging decisions, plea bargaining, and bail determinations. The program concludes with specific applications of procedural justice principles to prosecutorial discretion, representing a significant progressive reform initiative aimed at promoting racial justice and equity in prosecution practices.",Yolo County_Implicit Bias Training Hourly Distribution.pdf,,,,,
2017_04_19_los_angeles_county_mental_health_diversion_special_directive,2017-04-19,Los Angeles County,Mental Health Diversion Special Directive,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,moderate,strong_guidance,more_lenient,more_lenient,"This directive establishes a comprehensive mental health diversion policy for Los Angeles County, significantly expanding access to alternative sentencing courts by removing approval requirements and encouraging treatment-based responses to crime. The policy reflects a progressive therapeutic justice approach, emphasizing that addressing underlying mental illness, addiction, and homelessness serves both defendants and community safety. It creates detailed protocols for multiple specialized courts while empowering individual prosecutors to consider mental health factors at all stages of the criminal justice process.",2017.04.19_Los Angeles County_Mental Health Diversion Special Directive.pdf,,,,,
2017_04_19_la_county_special_directive_17_08,2017-04-19,Los Angeles County,Special Directive 17-08,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,moderate,strong_guidance,more_lenient,more_lenient,"This directive establishes a comprehensive framework for mental health diversion and alternative sentencing courts in Los Angeles County, representing a significant policy shift toward treatment-oriented prosecution. The policy removes bureaucratic barriers that previously limited access to diversion programs, particularly for serious felonies and drug sales cases, while empowering line prosecutors to make diversion decisions. The document reflects a progressive prosecutorial philosophy that prioritizes addressing underlying causes of criminal behavior through mental health treatment, substance abuse programs, and specialized courts rather than traditional incarceration-focused approaches.",2017.04.19_LA County_Special Directive 17-08.pdf,,,,,
2017_04_19_la_county_special_directive_mental_health_diversion_alternative_sente,2017-04-19,Los Angeles County,Special Directive-Mental Health Diversion & Alternative Sentencing,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,moderate,strong_guidance,more_lenient,more_lenient,"This directive establishes a comprehensive mental health diversion and alternative sentencing policy for Los Angeles County, removing bureaucratic barriers and empowering prosecutors to consider mental illness in charging and sentencing decisions. The policy creates multiple specialized court programs (drug court, veterans court, mental health courts) that prioritize treatment over incarceration for eligible defendants. It represents a significant shift toward therapeutic justice, explicitly encouraging diversion program participation while maintaining exclusions for the most serious offenses. The directive reflects a progressive prosecutorial philosophy that views addressing underlying causes of criminal behavior as serving the interests of justice and public safety.",2017.04.19_LA County_ Special Directive-Mental Health Diversion & Alternative Sentencing.pdf,,,,,
2018_07_13_sacramento_county_mental_health_diversion_memorandum,2018-07-13,Sacramento County,Mental Health Diversion-Memorandum,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,moderate,strong_guidance,more_lenient,more_lenient,"This comprehensive procedural manual implements California's AB 1810 mental health diversion program, providing detailed guidance for diverting defendants with mental disorders from prosecution to treatment programs. The document establishes a therapeutic justice framework that allows all crimes to be eligible for diversion, with successful completion resulting in case dismissal and record sealing. While including necessary safety provisions, the policy represents a significant shift toward addressing mental health as a root cause of criminal behavior rather than relying solely on punitive measures.",2018.07.13_Sacramento County_Mental Health Diversion-Memorandum.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,-172.0,statewide_legislation
2018_10_15_sacramento_county_mental_health_diversion_process_for_felony_cases_on,2018-10-15,Sacramento County,Mental Health Diversion Process-for Felony Cases Only,internal_directive,diversion,2.0,progressive,diversion,quality_of_life_enforcement,significant,mandatory,more_lenient,more_lenient,"This document establishes a comprehensive mental health diversion protocol for felony cases in Sacramento County, developed collaboratively between prosecution, defense, and behavioral health services. The program allows defendants with qualifying mental disorders to receive treatment instead of traditional prosecution, with successful completion resulting in complete dismissal of charges and the arrest being deemed to have never occurred. The protocol reflects a clearly progressive, treatment-oriented approach that prioritizes therapeutic intervention over punishment while maintaining some traditional safeguards for public safety and serious violent crimes.",2018.10.15_Sacramento County_Mental Health Diversion Process-for Felony Cases Only.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,-78.0,statewide_legislation
2018_12_27_la_county_constitutional_challenge_to_murder_resentencing_memo,2018-12-27,Los Angeles County,Constitutional Challenge to Murder Resentencing Memo,internal_directive,case_law_update,-2.0,traditional,sentencing,public_safety_perception,significant,mandatory,neutral,more_punitive,"This memo instructs Los Angeles County prosecutors to systematically challenge the constitutionality of SB 1437's resentencing provisions for murder accomplices, arguing it violates separation of powers. The office mandates opposition to all resentencing petitions for cases finalized before 2019, while providing guidance on appellate strategies and prohibiting refiling of dismissed charges. The document reflects a traditional prosecutorial approach focused on preserving harsh sentences and resisting criminal justice reforms through constitutional challenges and aggressive litigation.",2018.12.27_LA County_ Constitutional Challenge to Murder Resentencing Memo.pdf,sb_1393_enhancement_discretion,SB 1393 (Prior Serious Felony Enhancement Discretion),2019-01-01,-5.0,statewide_legislation
2019_stanislaus_county_cdaa_winter_workshop_bias_materials,2019-01-01,Stanislaus County,CDAA-Winter-Workshop-Bias-Materials,internal_directive,racial_justice,2.0,progressive,charging,public_safety_perception,moderate,strong_guidance,more_lenient,more_lenient,"This comprehensive training document focuses on eliminating racial bias in prosecutorial decision-making through implicit bias education, data transparency, and community engagement. The materials provide specific guidance for prosecutors to examine their charging and sentencing patterns for disparities, consider alternatives to traditional prosecution, and adopt more individualized approaches to justice. The document represents a clear shift toward progressive prosecution values, emphasizing fairness and community safety over conviction maximization and punitive outcomes.",2019_Stanislaus County_CDAA-Winter-Workshop-Bias-Materials.pdf,sb_1437_felony_murder,SB 1437 (Felony Murder Reform),2019-01-01,0.0,statewide_legislation
