shock_id,date,end_date,level,county,policy_name,policy_type,description,enforcement_channel,behavioral_channel,severity,source,notes
gascon_sf_takes_office,2011-01-09,,county,San Francisco County,George Gascón Appointed SF DA,da_directive,"Appointed by Mayor Newsom after Kamala Harris became AG; first police chief to become DA; implemented cash bail reform, quality-of-life crime declination, marijuana conviction expungement",charging,quality_of_life_enforcement,significant,"SF Mayor appointment, Jan 9, 2011",
ab_109_realignment,2011-10-01,,statewide,All,AB 109 (Public Safety Realignment),legislation,"Transferred incarceration and supervision of non-violent, non-serious, non-sex-offense felons from state prison to county jails and probation; reduced state prison population by ~28,000 in first year",incarceration,public_safety_perception,major,Cal. Penal Code § 1170(h); AB 109 (2011),
prop_36_three_strikes_reform,2012-11-07,,statewide,All,Proposition 36 (Three Strikes Reform),proposition,"Required third strike to be serious or violent felony; allowed ~2,800 inmates serving life for non-serious third strikes to petition for resentencing",sentencing,public_safety_perception,significant,Cal. Penal Code § 1170.126; Prop 36 (2012),
prop_47,2014-11-05,,statewide,All,Proposition 47 (Safe Neighborhoods and Schools Act),proposition,"Reclassified drug possession and property crimes under $950 (shoplifting, theft, forgery, bad checks, receiving stolen property) from felonies to misdemeanors; ~1M eligible for reclassification",charging,retail_crime_perception,major,"Cal. Penal Code §§ 459.5, 473, 476a, 490.2, 496; Prop 47 (2014)",
prop_57,2016-11-09,,statewide,All,Proposition 57 (Public Safety and Rehabilitation Act),proposition,Authorized parole consideration for nonviolent felons; required judges (not prosecutors) to decide juvenile transfer to adult court; expanded good-conduct and rehabilitative credits,sentencing,public_safety_perception,significant,"Cal. Const. Art. I, § 32; Prop 57 (2016)",Phased implementation: parole consideration began July 2017; credit changes May-Aug 2017; juvenile provisions Feb 2018
becton_contra_costa_takes_office,2017-09-18,,county,Contra Costa County,Diana Becton Sworn In as Contra Costa DA,da_directive,"First woman and first Black DA in county history; stopped prosecuting low-level drug crimes, established drug diversion, abolished juvenile justice fees, partnered with Vera Institute on racial bias evaluation",charging,quality_of_life_enforcement,significant,"Contra Costa Board of Supervisors appointment, Sep 12/18, 2017",
sb_180_drug_enhancement_repeal,2018-01-01,,statewide,All,SB 180 (Drug Prior Enhancement Elimination),legislation,"Eliminated the 3-year sentence enhancement for prior drug convictions (HS 11370.2), except involving minors; removed a key sentence multiplier for repeat drug offenders",enhancements,public_safety_perception,moderate,Cal. Health & Safety Code § 11370.2; SB 180 (2017),
sb_620_firearm_enhancement_discretion,2018-01-01,,statewide,All,SB 620 (Firearm Enhancement Discretion),legislation,"Gave judges discretion to strike previously mandatory firearm enhancements under PC 12022.5 and 12022.53, which added 3-25 years to sentences",enhancements,public_safety_perception,significant,"Cal. Penal Code §§ 12022.5, 12022.53; SB 620 (2017)",
sb_1437_felony_murder,2019-01-01,,statewide,All,SB 1437 (Felony Murder Reform),legislation,"Limited felony murder liability to actual killers, those with intent to kill, or major participants acting with reckless indifference; created resentencing petition process (PC 1172.6)",charging,public_safety_perception,significant,"Cal. Penal Code §§ 188, 189, 1172.6; SB 1437 (2018)",
sb_1393_enhancement_discretion,2019-01-01,,statewide,All,SB 1393 (Prior Serious Felony Enhancement Discretion),legislation,Gave judges discretion to strike the mandatory 5-year prior serious felony enhancement under PC 667(a); previously this enhancement was mandatory,enhancements,public_safety_perception,moderate,"Cal. Penal Code §§ 667, 1385; SB 1393 (2018)",
sb_1391_juvenile_transfer_ban,2019-01-01,,statewide,All,SB 1391 (Juvenile Transfer Ban for 14-15 Year Olds),legislation,Prohibited transfer of juveniles aged 14-15 to adult court except in narrow federal prosecution circumstances,charging,public_safety_perception,moderate,Cal. Welf. & Inst. Code § 707; SB 1391 (2018),
boudin_sf_takes_office,2020-01-08,2022-07-08,county,San Francisco County,Chesa Boudin Sworn In as SF DA,da_directive,"Day-one directives: ended cash bail requests, banned gang enhancements, stopped prosecuting quality-of-life crimes, launched caregiver parent diversion program, ended pretextual stop prosecutions",charging,quality_of_life_enforcement,major,"SF DA inauguration, Jan 8, 2020; SFDA press releases","Recalled June 7, 2022; left office July 8, 2022"
zero_bail_statewide,2020-04-13,2020-06-20,statewide,All,CA Judicial Council Statewide Zero-Bail Emergency Order,judicial_order,"Set bail at $0 for most misdemeanors and lower-level felonies statewide to reduce jail populations during COVID-19; reduced jail population by 20,000+",bail,public_safety_perception,major,"CA Judicial Council Emergency Rule (adopted Apr 6, effective Apr 13, 2020)","Seven counties (44% of CA population) adopted county-level zero-bail ~1-3 weeks before statewide order. Statewide order rescinded June 20, 2020, but many counties continued locally."
la_zero_bail_extension,2020-06-20,2022-07-01,county,Los Angeles County,LA County Zero-Bail Extension Beyond Statewide Order,judicial_order,"LA County continued emergency zero-bail schedule after statewide order rescinded June 20, 2020; pandemic-era zero bail remained until July 1, 2022",bail,public_safety_perception,significant,LA Superior Court emergency bail orders (2020-2022),"Reinstated May 24, 2023 by Judge Riff ruling; new bail schedule effective Oct 1, 2023"
